   0.00000   1.00000  169.1513   1.00000  169.1513
   1.00000   0.99813  169.1525   0.99867  169.1503
   2.00000   0.99255  169.1561   0.99467  169.1471
   3.00000   0.98329  169.1621   0.98805  169.1418
   4.00000   0.97046  169.1706   0.97885  169.1344
   5.00000   0.95416  169.1815   0.96713  169.1247
   6.00000   0.93453  169.1949   0.95298  169.1128
   7.00000   0.91177  169.2108   0.93651  169.0986
   8.00000   0.88606  169.2292   0.91782  169.0820
   9.00000   0.85763  169.2503   0.89705  169.0629
  10.00000   0.82673  169.2740   0.87434  169.0411
  11.00000   0.79361  169.3004   0.84985  169.0166
  12.00000   0.75856  169.3296   0.82374  168.9891
  13.00000   0.72185  169.3618   0.79618  168.9585
  14.00000   0.68378  169.3969   0.76734  168.9246
  15.00000   0.64465  169.4351   0.73742  168.8872
  16.00000   0.60473  169.4766   0.70658  168.8458
  17.00000   0.56434  169.5215   0.67502  168.8003
  18.00000   0.52374  169.5700   0.64292  168.7502
  19.00000   0.48320  169.6224   0.61044  168.6951
  20.00000   0.44300  169.6789   0.57778  168.6345
  21.00000   0.40337  169.7398   0.54508  168.5678
  22.00000   0.36454  169.8056   0.51253  168.4942
  23.00000   0.32673  169.8769   0.48025  168.4131
  24.00000   0.29011  169.9542   0.44840  168.3234
  25.00000   0.25485  170.0387   0.41712  168.2239
  26.00000   0.22111  170.1316   0.38651  168.1133
  27.00000   0.18901  170.2348   0.35668  167.9900
  28.00000   0.15864  170.3515   0.32775  167.8518
  29.00000   0.13009  170.4865   0.29978  167.6963
  30.00000   0.10341  170.6488   0.27286  167.5203
  31.00000   0.07864  170.8560   0.24704  167.3199
  32.00000   0.05581  171.1499   0.22238  167.0900
  33.00000   0.03490  171.6583   0.19891  166.8240
  34.00000   0.01592  173.0601   0.17667  166.5134
  35.00000   0.00138  -37.8161   0.15566  166.1462
  36.00000   0.01650  -11.3784   0.13591  165.7062
  37.00000   0.03000  -10.2199   0.11740  165.1702
  38.00000   0.04180   -9.7306   0.10013  164.5037
  39.00000   0.05197   -9.4128   0.08409  163.6541
  40.00000   0.06059   -9.1606   0.06925  162.5355
  41.00000   0.06776   -8.9377   0.05560  160.9996
  42.00000   0.07358   -8.7278   0.04312  158.7660
  43.00000   0.07814   -8.5226   0.03181  155.2386
  44.00000   0.08153   -8.3169   0.02171  148.9203
  45.00000   0.08387   -8.1076   0.01313  135.0552
  46.00000   0.08525   -7.8921   0.00756   96.9454
  47.00000   0.08576   -7.6685   0.00883   41.8398
  48.00000   0.08551   -7.4351   0.01397   18.5057
  49.00000   0.08458   -7.1905   0.01939    9.2543
  50.00000   0.08306   -6.9331   0.02437    4.5553
  51.00000   0.08103   -6.6613   0.02879    1.7496
  52.00000   0.07857   -6.3736   0.03264   -0.1059
  53.00000   0.07576   -6.0682   0.03594   -1.4209
  54.00000   0.07266   -5.7434   0.03871   -2.4000
  55.00000   0.06933   -5.3969   0.04102   -3.1566
  56.00000   0.06584   -5.0267   0.04288   -3.7583
  57.00000   0.06223   -4.6300   0.04435   -4.2480
  58.00000   0.05855   -4.2041   0.04546   -4.6540
  59.00000   0.05484   -3.7455   0.04625   -4.9958
  60.00000   0.05114   -3.2506   0.04676   -5.2875
  61.00000   0.04748   -2.7149   0.04701   -5.5392
  62.00000   0.04389   -2.1335   0.04704   -5.7585
  63.00000   0.04039   -1.5005   0.04688   -5.9512
  64.00000   0.03700   -0.8090   0.04655   -6.1217
  65.00000   0.03374   -0.0510   0.04609   -6.2737
  66.00000   0.03062    0.7832   0.04550   -6.4099
  67.00000   0.02765    1.7050   0.04481   -6.5327
  68.00000   0.02484    2.7281   0.04404   -6.6438
  69.00000   0.02220    3.8691   0.04321   -6.7449
  70.00000   0.01972    5.1482   0.04233   -6.8371
  71.00000   0.01742    6.5903   0.04142   -6.9217
  72.00000   0.01529    8.2259   0.04048   -6.9994
  73.00000   0.01332   10.0930   0.03953   -7.0711
  74.00000   0.01153   12.2390   0.03857   -7.1373
  75.00000   0.00990   14.7232   0.03761   -7.1988
  76.00000   0.00843   17.6197   0.03667   -7.2559
  77.00000   0.00712   21.0204   0.03574   -7.3091
  78.00000   0.00596   25.0373   0.03483   -7.3587
  79.00000   0.00495   29.8012   0.03394   -7.4051
  80.00000   0.00408   35.4529   0.03308   -7.4487
  81.00000   0.00336   42.1198   0.03226   -7.4895
  82.00000   0.00275   49.8672   0.03146   -7.5279
  83.00000   0.00227   58.6276   0.03070   -7.5641
  84.00000   0.00188   68.1335   0.02997   -7.5982
