   0.00000   1.00000   45.4824   1.00000   45.4824
   1.00000   0.99801   45.4872   0.99860   45.4814
   2.00000   0.99206   45.5013   0.99442   45.4783
   3.00000   0.98221   45.5251   0.98748   45.4732
   4.00000   0.96854   45.5588   0.97784   45.4660
   5.00000   0.95120   45.6027   0.96557   45.4566
   6.00000   0.93032   45.6574   0.95077   45.4450
   7.00000   0.90612   45.7234   0.93354   45.4311
   8.00000   0.87880   45.8015   0.91400   45.4148
   9.00000   0.84862   45.8928   0.89231   45.3961
  10.00000   0.81584   45.9984   0.86861   45.3748
  11.00000   0.78074   46.1197   0.84308   45.3508
  12.00000   0.74363   46.2586   0.81588   45.3238
  13.00000   0.70481   46.4172   0.78721   45.2937
  14.00000   0.66461   46.5981   0.75725   45.2602
  15.00000   0.62333   46.8047   0.72620   45.2232
  16.00000   0.58131   47.0411   0.69425   45.1822
  17.00000   0.53885   47.3124   0.66160   45.1369
  18.00000   0.49626   47.6253   0.62844   45.0870
  19.00000   0.45383   47.9884   0.59497   45.0319
  20.00000   0.41185   48.4130   0.56135   44.9710
  21.00000   0.37058   48.9142   0.52778   44.9037
  22.00000   0.33027   49.5128   0.49442   44.8292
  23.00000   0.29114   50.2382   0.46143   44.7466
  24.00000   0.25341   51.1327   0.42895   44.6547
  25.00000   0.21726   52.2608   0.39712   44.5522
  26.00000   0.18288   53.7238   0.36607   44.4375
  27.00000   0.15042   55.6912   0.33590   44.3084
  28.00000   0.12007   58.4676   0.30672   44.1626
  29.00000   0.09205   62.6522   0.27861   43.9969
  30.00000   0.06675   69.5698   0.25164   43.8073
  31.00000   0.04512   82.5410   0.22587   43.5886
  32.00000   0.03006  109.5029   0.20134   43.3340
  33.00000   0.02780  151.3197   0.17810   43.0344
  34.00000   0.03723 -179.6022   0.15617   42.6773
  35.00000   0.05016 -165.5809   0.13555   42.2451
  36.00000   0.06300 -158.2066   0.11626   41.7122
  37.00000   0.07470 -153.7894   0.09828   41.0397
  38.00000   0.08497 -150.8728   0.08160   40.1660
  39.00000   0.09372 -148.8071   0.06621   38.9869
  40.00000   0.10098 -147.2658   0.05208   37.3125
  41.00000   0.10679 -146.0688   0.03920   34.7567
  42.00000   0.11125 -145.1088   0.02759   30.4071
  43.00000   0.11443 -144.3184   0.01736   21.5565
  44.00000   0.11645 -143.6529   0.00925   -2.7291
  45.00000   0.11740 -143.0817   0.00720  -65.1513
  46.00000   0.11739 -142.5828   0.01221 -101.9351
  47.00000   0.11651 -142.1404   0.01830 -114.0389
  48.00000   0.11487 -141.7424   0.02398 -119.4774
  49.00000   0.11257 -141.3795   0.02902 -122.5113
  50.00000   0.10970 -141.0446   0.03341 -124.4355
  51.00000   0.10633 -140.7318   0.03716 -125.7613
  52.00000   0.10257 -140.4363   0.04032 -126.7287
  53.00000   0.09848 -140.1541   0.04293 -127.4650
  54.00000   0.09413 -139.8817   0.04503 -128.0438
  55.00000   0.08958 -139.6161   0.04668 -128.5103
  56.00000   0.08491 -139.3545   0.04792 -128.8941
  57.00000   0.08016 -139.0943   0.04878 -129.2152
  58.00000   0.07537 -138.8330   0.04932 -129.4877
  59.00000   0.07060 -138.5683   0.04957 -129.7217
  60.00000   0.06587 -138.2976   0.04956 -129.9248
  61.00000   0.06122 -138.0184   0.04932 -130.1025
  62.00000   0.05667 -137.7277   0.04890 -130.2594
  63.00000   0.05226 -137.4226   0.04832 -130.3988
  64.00000   0.04799 -137.0995   0.04760 -130.5234
  65.00000   0.04389 -136.7544   0.04677 -130.6355
  66.00000   0.03996 -136.3824   0.04585 -130.7367
  67.00000   0.03621 -135.9779   0.04485 -130.8286
  68.00000   0.03265 -135.5339   0.04381 -130.9123
  69.00000   0.02929 -135.0418   0.04272 -130.9889
  70.00000   0.02613 -134.4907   0.04161 -131.0592
  71.00000   0.02316 -133.8664   0.04048 -131.1240
  72.00000   0.02038 -133.1505   0.03936 -131.1838
  73.00000   0.01780 -132.3184   0.03824 -131.2391
  74.00000   0.01541 -131.3361   0.03713 -131.2905
  75.00000   0.01320 -130.1556   0.03605 -131.3384
  76.00000   0.01117 -128.7072   0.03500 -131.3830
  77.00000   0.00931 -126.8853   0.03397 -131.4247
  78.00000   0.00763 -124.5234   0.03298 -131.4637
  79.00000   0.00611 -121.3446   0.03203 -131.5003
  80.00000   0.00477 -116.8610   0.03112 -131.5347
  81.00000   0.00359 -110.1565   0.03025 -131.5670
  82.00000   0.00262  -99.4427   0.02943 -131.5975
  83.00000   0.00190  -81.5620   0.02865 -131.6263
  84.00000   0.00153  -54.4952   0.02791 -131.6534
  85.00000   0.00158  -26.2428   0.02721 -131.6792
  86.00000   0.00186   -6.6660   0.02656 -131.7035
  87.00000   0.00221    5.0837   0.02595 -131.7266
  88.00000   0.00254   12.3488   0.02538 -131.7486
  89.00000   0.00281   17.1467   0.02484 -131.7694
  90.00000   0.00301   20.5113   0.02435 -131.7892
  91.00000   0.00314   22.9879   0.02389 -131.8081
  92.00000   0.00319   24.8824   0.02346 -131.8261
  93.00000   0.00317   26.3766   0.02307 -131.8433
  94.00000   0.00308   27.5848   0.02270 -131.8596
  95.00000   0.00292   28.5821   0.02236 -131.8753
  96.00000   0.00270   29.4195   0.02204 -131.8902
  97.00000   0.00241   30.1329   0.02175 -131.9045
  98.00000   0.00206   30.7485   0.02147 -131.9182
  99.00000   0.00166   31.2854   0.02120 -131.9313
 100.00000   0.00120   31.7581   0.02095 -131.9439
 101.00000   0.00068   32.1780   0.02071 -131.9560
 102.00000   0.00012   32.5537   0.02047 -131.9675
